name,publisher,number_of_page,current_price,original_price,quantity,score,subject,grade,link
12.Sınıf AYT Biyoloji Soru Bankası Kitabı Simya Dergisi Yayınları,Simya Dergisi Yayınları,240,90.75,121.0,7,4.0,biyoloji,12.,https://www.kitapsec.com/Products/12Sinif-AYT-Biyoloji-Soru-Bankasi-Kitabi-Simya-Dergisi-Yayinlari-555149.html
12.Sınıf AYT Fizik Soru Bankası Kitabı Simya Dergisi Yayınları,Simya Dergisi Yayınları,304,99.75,133.0,2,4.0,fizik,12.,https://www.kitapsec.com/Products/12Sinif-AYT-Fizik-Soru-Bankasi-Kitabi-Simya-Dergisi-Yayinlari-555144.html
12.Sınıf AYT Kimya Konu Anlatımlı Kitabı Simya Dergisi Yayınları,Simya Dergisi Yayınları,304,99.75,133.0,1,2.0,kimya,12.,https://www.kitapsec.com/Products/12Sinif-AYT-Kimya-Konu-Anlatimli-Kitabi-Simya-Dergisi-Yayinlari-555128.html
12.Sınıf Matematik Seti Sonuç Yayınları,Sonuç Yayınları,-1,181.3,259.0,111,5.0,matematik,12.,https://www.kitapsec.com/Products/12Sinif-Matematik-Seti-Sonuc-Yayinlari-766328.html
12.Sınıf Matematik Seti Sonuç Yayınları,Sonuç Yayınları,-1,140.0,210.0,-1,0.0,matematik,12.,https://www.kitapsec.com/Products/12Sinif-Matematik-Seti-Sonuc-Yayinlari-828636.html
12.Sınıf Matematik Seti Sonuç Yayınları,Sonuç Yayınları,-1,140.0,210.0,-1,0.0,matematik,12.,https://www.kitapsec.com/Products/12Sinif-Matematik-Seti-Sonuc-Yayinlari-833078.html
12.Sınıf TYT Biyoloji Soru Bankası Kitabı Simya Dergisi Yayınları,Simya Dergisi Yayınları,160,63.0,84.0,12,5.0,biyoloji,12.,https://www.kitapsec.com/Products/12Sinif-TYT-Biyoloji-Soru-Bankasi-Kitabi-Simya-Dergisi-Yayinlari-555148.html
12.Sınıf TYT Felsefe Konu Özetli Soru Bankası Simya Dergisi Yayınları,Simya Dergisi Yayınları,160,64.5,86.0,4,4.0,felsefe,12.,https://www.kitapsec.com/Products/12Sinif-TYT-Felsefe-Konu-Ozetli-Soru-Bankasi-Simya-Dergisi-Yayinlari-555134.html
12.Sınıf TYT Kimya Soru Bankası Kitabı BYS Kafası Yayınları,BYS Kafası Yayınları,160,122.25,163.0,8,4.0,kimya,12.,https://www.kitapsec.com/Products/12Sinif-TYT-Kimya-Soru-Bankasi-Kitabi-BYS-Kafasi-Yayinlari-555486.html
12.Sınıf TYT Kimya Soru Bankası Kitabı Simya Dergisi Yayınları,Simya Dergisi Yayınları,208,83.25,111.0,3,4.0,kimya,12.,https://www.kitapsec.com/Products/12Sinif-TYT-Kimya-Soru-Bankasi-Kitabi-Simya-Dergisi-Yayinlari-555146.html
2009-2021 TYT AYT Geometri Son 13 Yıl Tıpkı Basım Konularına Göre Düzenlenmiş Tamamı Çözümlü Çıkmış Sorular Benim Hocam Yayınları,Benim Hocam Yayınları,168,59.0,119.0,-1,0.0,matematik,lise,https://www.kitapsec.com/Products/2009-2021-TYT-AYT-Geometri-Son-13-Yil-Tipki-Basim-Konularina-Gore-Duzenlenmis-Tamami-Cozumlu-Cikmis-Sorular-Benim-Hocam-Yayinlari-824284.html
2009-2021 TYT AYT Geometri Son 13 Yıl Tıpkı Basım Konularına Göre Düzenlenmiş Tamamı Çözümlü Çıkmış Sorular Benim Hocam Yayınları,Benim Hocam Yayınları,168,69.9,119.0,-1,0.0,matematik,lise,https://www.kitapsec.com/Products/2009-2021-TYT-AYT-Geometri-Son-13-Yil-Tipki-Basim-Konularina-Gore-Duzenlenmis-Tamami-Cozumlu-Cikmis-Sorular-Benim-Hocam-Yayinlari-815728.html
2018 AYT Tıpkı Basım Çap Yayınları,Çap Yayınları,-1,24.65,29.0,2646,4.4,genel,ayt,https://www.kitapsec.com/Products/2018-AYT-Tipki-Basim-Cap-Yayinlari-349548.html
2018 AYT Tıpkı Basım Çıkmış Deneme Sınavı A Yayınları,A Yayınları,48,15.0,20.0,6,4.0,genel,ayt,https://www.kitapsec.com/Products/2018-AYT-Tipki-Basim-Cikmis-Deneme-Sinavi-A-Yayinlari-694245.html
2018 MSÜ Tıpkı Basım Çap Yayınları,Çap Yayınları,-1,24.65,29.0,3121,4.2,genel,lise,https://www.kitapsec.com/Products/2018-MSU-Tipki-Basim-Cap-Yayinlari-405663.html
2018 TYT Tıpkı Basım Çap Yayınları,Çap Yayınları,-1,24.65,29.0,1254,5.0,genel,tyt,https://www.kitapsec.com/Products/2018-TYT-Tipki-Basim-Cap-Yayinlari-342494.html
2019 AYT 3D Geometri Tamamı Video Çözümlü Soru Bankası 3D Yayınları,3D Yayınları,288,169.0,188.0,2,4.0,matematik,ayt,https://www.kitapsec.com/Products/2019-AYT-3D-Geometri-Tamami-Video-Cozumlu-Soru-Bankasi-3D-Yayinlari-695849.html
2019 AYT 3D Tarih Tamamı Video Çözümlü Soru Bankası 3D Yayınları,3D Yayınları,272,167.0,186.0,3,4.0,tarih,ayt,https://www.kitapsec.com/Products/2019-AYT-3D-Tarih-Tamami-Video-Cozumlu-Soru-Bankasi-3D-Yayinlari-695850.html
2019 AYT Tıpkı Basım Çap Yayınları,Çap Yayınları,43,24.65,29.0,684,4.8,genel,ayt,https://www.kitapsec.com/Products/2019-AYT-Tipki-Basim-Cap-Yayinlari-371399.html
2019 TYT Tıpkı Basım Çap Yayınları,Çap Yayınları,39,24.65,29.0,2085,4.6,genel,tyt,https://www.kitapsec.com/Products/2019-TYT-Tipki-Basim-Cap-Yayinlari-371397.html
