name,publisher,number_of_page,current_price,original_price,quantity,score,subject,grade,link,image
ENS Yayıncılık TYT Matematik Soru Bankası,ENS Yayıncılık,304,135.15,159.0,22,4.5,matematik,tyt,https://www.kitapisler.com/ens-yayincilik-tyt-matematik-soru-bankasi_91281.html,https://www.kitapisler.com/images_buyuk/f81/ens-yayincilik-tyt-matematik-sor_OTEyODEyODUw_1.jpg
ENS Yayıncılık TYT Fizik Soru Bankası,ENS Yayıncılık,-1,118.15,139.0,5,0.0,fizik,tyt,https://www.kitapisler.com/ens-yayincilik-tyt-fizik-soru-bankasi_91280.html,https://www.kitapisler.com/images_buyuk/f80/ens-yayincilik-tyt-fizik-soru-ba_OTEyODAyNjQz_1.jpg
ENS Yayıncılık TYT Tarih Soru Bankası,ENS Yayıncılık,-1,118.15,139.0,4,0.0,tarih,tyt,https://www.kitapisler.com/ens-yayincilik-tyt-tarih-soru-bankasi_91279.html,https://www.kitapisler.com/images_buyuk/f79/ens-yayincilik-tyt-tarih-soru-ba_OTEyNzkyNDM5_1.jpg
ENS Yayıncılık TYT Türkçe Soru Bankası,ENS Yayıncılık,-1,118.15,139.0,4,0.0,türkçe,tyt,https://www.kitapisler.com/ens-yayincilik-tyt-turkce-soru-bankasi_91278.html,https://www.kitapisler.com/images_buyuk/f78/ens-yayincilik-tyt-turkce-soru-b_OTEyNzgyMzEw_1.jpg
ENS Yayıncılık AYT Türk Dili ve Edebiyatı Destek Soru Bankası,ENS Yayıncılık,-1,118.15,139.0,3,0.0,edebiyat,ayt,https://www.kitapisler.com/ens-yayincilik-ayt-turk-dili-ve-edebiyati-destek-soru-bankasi_91277.html,https://www.kitapisler.com/images_buyuk/f77/ens-yayincilik-ayt-turk-dili-ve-_OTEyNzcyMTEz_1.jpg
ENS Yayıncılık TYT Felsefe Soru Bankası,ENS Yayıncılık,-1,75.65,89.0,2,0.0,felsefe,tyt,https://www.kitapisler.com/ens-yayincilik-tyt-felsefe-soru-bankasi_91276.html,https://www.kitapisler.com/images_buyuk/f76/ens-yayincilik-tyt-felsefe-soru-_OTEyNzYxOTM2_1.jpg
Aydın Yayınları TYT Paragraf ETAP Soru Bankası,Aydın Yayınları,320,204.8,256.0,0,5.0,türkçe,tyt,https://www.kitapisler.com/aydin-yayinlaric2a0tyt-paragraf-etap-soru-bankasi_91259.html,https://www.kitapisler.com/images_buyuk/f59/aydin-yayinlaric2a0tyt-paragraf-_OTEyNTkyMzEz_1.jpg
Toprak Yayıncılık AYT Coğrafya Soru Bankası,Toprak Yayıncılık,224,132.0,165.0,0,5.0,coğrafya,ayt,https://www.kitapisler.com/toprak-yayincilik-ayt-cografya-soru-bankasi_91258.html,https://www.kitapisler.com/images_buyuk/f58/toprak-yayincilik-ayt-cografya-s_OTEyNTgwMjQw_1.jpg
Toprak Yayıncılık TYT Coğrafya Soru Bankası,Toprak Yayıncılık,312,176.0,220.0,0,5.0,coğrafya,tyt,https://www.kitapisler.com/toprak-yayincilik-tyt-cografya-soru-bankasi_91257.html,https://www.kitapisler.com/images_buyuk/f57/toprak-yayincilik-tyt-cografya-s_OTEyNTcwMDUy_1.jpg
Toprak Yayıncılık AYT Tarih Soru Bankası,Toprak Yayıncılık,288,168.0,210.0,1,5.0,tarih,ayt,https://www.kitapisler.com/toprak-yayincilik-ayt-tarih-soru-bankasi_91256.html,https://www.kitapisler.com/images_buyuk/f56/toprak-yayincilik-ayt-tarih-soru_OTEyNTY1ODU5_1.jpg
Toprak Yayıncılık TYT Tarih Soru Bankası,Toprak Yayıncılık,272,156.0,195.0,0,5.0,tarih,tyt,https://www.kitapisler.com/toprak-yayincilik-tyt-tarih-soru-bankasi_91255.html,https://www.kitapisler.com/images_buyuk/f55/toprak-yayincilik-tyt-tarih-soru_OTEyNTU1NzA0_1.jpg
